Product_ID,Date,Note
KV04WHI2-150,2026-04-25,
KV05BRO2-250,2026-04-28,
KV05DBR1-250,2026-04-28,
KV05GRE-250,2026-04-28,
KV04LBR2-150,2026-04-28,
DS04PIN2-150,2026-04-28,
DS04MPUR1-150,2026-04-28,
DS04WHI-150,2026-04-28,
DS04MPUR2-150,2026-05-01,
KV05LBR-250,2026-05-02,
DS05DGR-250,2026-05-02,
DS04B&W-150,2026-05-03,
DS04RAS-150,2026-05-03,
DS05MUL-250,2026-05-03,
KV04DGR2-150,2026-05-03,
DS04PEA-150,2026-05-03,
DS03COC-450,2026-05-03,
DS03DGR-450,2026-05-05,
DS04SKY-150,2026-05-05,
DS04COC-150,2026-05-09,ADDED ON 18/05/2026
DS03BEI-450,2026-05-11,
KV04OE1-150,2026-05-14,
DS04MBLU1-150,2026-05-15,
DS04BAN-150,2026-05-15,
KV04LBR-150,2026-05-17,
DS04DGR-150,2026-05-17,
DS04COC1-150,2026-05-17,
DS02COC-750,2026-05-17,
DS04BBY-150,2026-05-17,
KV04BR02-150,2026-05-17,
DS04GRE-150,2026-05-17,
